Filename,Words,AWL,TTR,LDE,NTotal,VBTotal,ABLE,ACT,AMP,ASPECT,BEMA,CAUSE,CC,CD,COMM,CONC,COND,CONT,CUZ,DEMO,DMA,DOAUX,DT,ELAB,EMPH,EX,EXIST,FPP1P,FPP1S,FPPAll,FREQ,HDG,HGOT,IN,INother,JJAT,JJATDother,JJATother,JJDESCAll,JJEPSTother,JJEVAL,JJPR,JJPRother,JJREL,JJSIZE,JJTIME,MDCA,MDCO,MDMM,MDNE,MDPOSSCAll,MDPREDAll,MDWO,MDWS,MENTAL,NCOMP,NN,NNABSPROC,NNCOG,NNCONC,NNGRP,NNHUMAN,NNP,NNPLACE,NNQUANT,NNTECH,NNother,NOMZ,NSTNCother,OCCUR,PASS,PASSAll,PEAS,PGET,PIT,PLACE,POS,PROG,PrepNSTNC,QUAN,RB,RBother,RNONFACT,RP,RSTNCAll,SPLIT,SPP2,STPR,THATD,THRC,THRCother,THSC,THSCother,TIME,TPP3P,TPP3S,ThJFCT,ThJSTNCAll,ThSTNCAll,ThVATT,ThVCOMM,ThVFCT,ThVSTNCAll,ToJCRTN,ToJEVAL,ToJSTNCAll,ToNSTNC,ToSTNCAll,ToThNSTNCAll,ToVDSR,ToVPROB,ToVSTNCAll,URL,VBD,VBG,VBN,VIMP,VPRT,WHSC,WHSCother,WhVFCT,WhVLIK,WhVSTNCAll,XX0,DWNT,EMO,FPUH,GTO,JJCOLR,JJTOPIC,POLITE,QUPR,RFACT,ToJEASE,ToVEFRT,VFCTother,ThNFCT,ThNSTNCAll,ToJABL,WHQU,YNQU,HST,NNMention,ToJEFCT,ThVLIK,WhVCOM,QUTAG,VLIKother,ThNLIK,ToVMNTL,MDother,GW,VATTother,ThNATT,ToVSPCH,ThJEVL,WhVATT,RLIKELY,ThJATT,ThJLIK,ThNNFCT
USA-WBF184.txt,2331,4.7121,0.5275,0.5032,678,224,0.0009,0.0369,0.0051,0.0021,0.0189,0.0013,0.0442,0.0347,0.0116,0.0004,0.0026,0.0129,0.0021,0.0112,0.0017,0.0026,0.0721,0.0004,0.0034,0.0017,0.003,0.0137,0.0159,0.0296,0.0021,0.0021,0.0004,0.136,0.1308,0.0498,0.0004,0.0378,0.0026,0.0004,0.0021,0.0206,0.0167,0.0043,0.0026,0.0047,0.0017,0.0017,0.0009,0.0056,0.0043,0.0099,0.0026,0.0073,0.0159,0.0326,0.2909,0.0292,0.0034,0.0094,0.0021,0.009,0.0858,0.0086,0.012,0.0009,0.0901,0.0043,0.0039,0.0043,0.0082,0.009,0.0082,0.0009,0.0103,0.0043,0.0082,0.0064,0.0013,0.0129,0.0172,0.015,0.0004,0.0026,0.0004,0.0034,0.0021,0.0013,0.0017,0.0047,0.0047,0.0082,0.0034,0.003,0.0043,0.0043,0.0004,0.0004,0.0047,0.0021,0.0013,0.0017,0.0043,0.0009,0.0004,0.0013,0.0004,0.003,0.0004,0.0009,0.0004,0.0013,0.0009,0.0163,0.0189,0.009,0.0009,0.0592,0.012,0.0107,0.0009,0.0004,0.0013,0.0077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD-WBS216.txt,2452,4.8475,0.4525,0.5371,852,186,0.0008,0.0347,0.0012,0.0057,0.0143,0.0057,0.0416,0.0224,0.0065,0.0,0.0024,0.0,0.0004,0.0118,0.0012,0.0004,0.0591,0.0008,0.0061,0.0004,0.0024,0.0098,0.0016,0.0114,0.0029,0.0012,0.0004,0.144,0.1395,0.0424,0.0004,0.0306,0.0033,0.0008,0.0012,0.0114,0.0086,0.0029,0.0029,0.0004,0.002,0.0,0.0008,0.0008,0.0029,0.0057,0.0016,0.0037,0.0086,0.0461,0.3475,0.0477,0.0012,0.0053,0.0069,0.0188,0.1052,0.0053,0.0135,0.0069,0.0742,0.0147,0.002,0.0033,0.009,0.0098,0.0082,0.0008,0.011,0.0041,0.0037,0.0082,0.0008,0.0126,0.0159,0.0143,0.0,0.0045,0.0004,0.0053,0.0265,0.0,0.0016,0.0012,0.0012,0.002,0.0012,0.0037,0.0082,0.011,0.0,0.0,0.0008,0.0,0.0,0.0008,0.0008,0.0,0.0,0.0008,0.0,0.0024,0.0,0.0012,0.0,0.0016,0.0008,0.0245,0.0179,0.0045,0.0004,0.042,0.0147,0.0147,0.0,0.0,0.0,0.0033,0.0004,0.0033,0.0029,0.0004,0.0004,0.0029,0.0024,0.0016,0.0004,0.0008,0.0004,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PK-WBS430.txt,3111,4.8903,0.51,0.5284,1017,257,0.0,0.0238,0.0019,0.0048,0.0122,0.0045,0.053,0.0225,0.01,0.0013,0.0023,0.0003,0.0006,0.008,0.0013,0.0026,0.0656,0.0016,0.0026,0.001,0.0045,0.017,0.01,0.027,0.0019,0.0003,0.0,0.1456,0.1395,0.0485,0.001,0.0379,0.001,0.0006,0.0006,0.0119,0.0087,0.0039,0.001,0.0051,0.0058,0.0,0.0016,0.0023,0.0074,0.0119,0.0013,0.0096,0.0084,0.0312,0.3269,0.045,0.0013,0.0032,0.0055,0.0228,0.1051,0.0042,0.0048,0.0029,0.0794,0.0151,0.0064,0.0048,0.0058,0.0068,0.0055,0.001,0.0113,0.0016,0.0035,0.0026,0.0029,0.0145,0.0135,0.0132,0.0,0.0019,0.0,0.0035,0.0087,0.0,0.0003,0.0048,0.0045,0.0035,0.0013,0.0023,0.0116,0.0058,0.0006,0.0006,0.0026,0.0003,0.001,0.0006,0.0016,0.0,0.0003,0.001,0.0006,0.0032,0.001,0.0013,0.0003,0.0016,0.0026,0.0148,0.0167,0.0045,0.0,0.0473,0.0074,0.0068,0.0006,0.0,0.0006,0.0077,0.0006,0.0013,0.0019,0.001,0.0,0.0006,0.001,0.0016,0.0,0.0003,0.0,0.0016,0.0003,0.0003,0.0003,0.0006,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PK-TWT133.txt,2349,5.7497,0.6725,0.6258,796,183,0.0,0.023,0.0021,0.003,0.0136,0.003,0.0247,0.0217,0.0102,0.0,0.0009,0.0051,0.0021,0.0081,0.0021,0.0013,0.0541,0.0004,0.006,0.0013,0.0051,0.0081,0.0047,0.0128,0.0068,0.0,0.0004,0.103,0.0992,0.0494,0.0043,0.0362,0.0013,0.0004,0.0043,0.0183,0.014,0.0021,0.0013,0.0034,0.0043,0.0013,0.0034,0.0017,0.0089,0.006,0.0009,0.0051,0.0162,0.0362,0.3389,0.0221,0.003,0.0123,0.0017,0.0192,0.1039,0.0034,0.0077,0.0047,0.0783,0.0064,0.0013,0.0038,0.0072,0.0081,0.0043,0.0009,0.006,0.0021,0.0043,0.0021,0.0013,0.0102,0.0162,0.0132,0.0,0.0021,0.0009,0.0043,0.0145,0.0009,0.0017,0.0013,0.0013,0.0004,0.0,0.0072,0.0047,0.0102,0.0,0.0,0.0004,0.0,0.0004,0.0,0.0004,0.0,0.0,0.0009,0.0,0.0017,0.0,0.0004,0.0,0.0009,0.0315,0.0175,0.0098,0.0094,0.003,0.0409,0.0089,0.0085,0.0,0.0004,0.0004,0.014,0.0009,0.0234,0.0064,0.0,0.0,0.0,0.006,0.0051,0.0009,0.0,0.0004,0.0004,0.0,0.0,0.0,0.0004,0.0004,0.0375,0.043,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LK-TWT408.txt,2547,4.8484,0.625,0.5194,704,271,0.0,0.0377,0.002,0.0024,0.02,0.0012,0.0228,0.0094,0.0106,0.0012,0.0063,0.0,0.0012,0.011,0.0043,0.0106,0.0722,0.0012,0.0079,0.0016,0.002,0.009,0.011,0.02,0.0027,0.0027,0.0,0.0938,0.0891,0.0291,0.0035,0.0161,0.0012,0.0004,0.0059,0.0161,0.009,0.0051,0.0008,0.0016,0.0055,0.0031,0.0008,0.0063,0.0094,0.0137,0.0035,0.0102,0.0239,0.0177,0.2764,0.0133,0.0008,0.0094,0.0047,0.0169,0.0204,0.0079,0.0102,0.0024,0.075,0.0047,0.0027,0.0059,0.0043,0.0043,0.0035,0.0,0.0133,0.0024,0.0039,0.0071,0.0004,0.0149,0.0318,0.0291,0.0,0.002,0.0016,0.009,0.0169,0.0004,0.0055,0.0016,0.0016,0.0035,0.002,0.0067,0.0122,0.0102,0.0,0.0,0.0016,0.0004,0.0008,0.0008,0.0016,0.0,0.0,0.0004,0.0,0.0035,0.0,0.0024,0.0,0.0031,0.0063,0.0153,0.0114,0.0047,0.0016,0.0601,0.0165,0.0153,0.0008,0.0004,0.0012,0.0067,0.0008,0.0424,0.0024,0.0,0.0004,0.0,0.0035,0.0031,0.0016,0.0004,0.0008,0.0,0.0,0.0,0.0,0.0035,0.0067,0.0181,0.0911,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LK-WBS056.txt,3058,5.0628,0.6,0.5647,1092,286,0.0,0.0219,0.0016,0.0016,0.017,0.0013,0.0415,0.034,0.0173,0.0003,0.0003,0.001,0.0029,0.0128,0.0007,0.0003,0.0791,0.0007,0.0023,0.0029,0.0049,0.0078,0.0026,0.0105,0.001,0.0003,0.0,0.1177,0.1131,0.0559,0.0003,0.0412,0.0026,0.0046,0.0003,0.0147,0.0108,0.0023,0.002,0.0043,0.0029,0.001,0.0013,0.002,0.0052,0.0101,0.0007,0.0095,0.0098,0.0392,0.3571,0.0396,0.002,0.0082,0.0065,0.0118,0.1249,0.0098,0.0131,0.0007,0.0811,0.016,0.0052,0.0039,0.0101,0.0101,0.0043,0.0,0.0114,0.001,0.0052,0.0026,0.001,0.0105,0.0164,0.0144,0.0003,0.0033,0.0007,0.0043,0.002,0.0,0.001,0.0007,0.0007,0.0026,0.001,0.0075,0.0052,0.0036,0.0,0.0,0.0016,0.0003,0.001,0.0,0.0016,0.0,0.0007,0.0007,0.0003,0.0033,0.0003,0.0013,0.0007,0.0023,0.0029,0.0265,0.0114,0.0111,0.0013,0.0484,0.0105,0.0098,0.0007,0.0,0.0007,0.0049,0.0007,0.0029,0.0007,0.0,0.0007,0.0043,0.0003,0.0013,0.0003,0.0,0.0003,0.0,0.0,0.0,0.0,0.0007,0.0003,0.0,0.0003,0.0,0.0003,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LK-WBF439.txt,2153,4.2457,0.585,0.4798,537,259,0.0005,0.0297,0.0009,0.0009,0.0228,0.0,0.0353,0.0237,0.0167,0.0009,0.0074,0.0107,0.0009,0.0176,0.0098,0.0074,0.0757,0.0014,0.0051,0.0046,0.006,0.0028,0.0265,0.0293,0.0056,0.0019,0.0,0.1013,0.0966,0.0353,0.0005,0.02,0.0014,0.0028,0.0102,0.0204,0.013,0.0028,0.0009,0.0033,0.0042,0.0019,0.0033,0.0042,0.0093,0.0107,0.0056,0.0046,0.0246,0.0316,0.2494,0.0167,0.0037,0.0288,0.0005,0.0153,0.0413,0.0051,0.0102,0.0014,0.0831,0.0056,0.0037,0.0028,0.0065,0.0093,0.0042,0.0028,0.0167,0.0051,0.0019,0.0028,0.0014,0.013,0.026,0.0242,0.0,0.0051,0.0,0.0046,0.0111,0.0,0.0084,0.0009,0.0009,0.0028,0.0023,0.006,0.0093,0.0065,0.0,0.0,0.0005,0.0,0.0005,0.0,0.0005,0.0005,0.0,0.0009,0.0009,0.0037,0.0009,0.0019,0.0,0.0019,0.0028,0.0242,0.019,0.0098,0.0019,0.0706,0.0163,0.0153,0.0005,0.0,0.0009,0.0153,0.0005,0.0,0.007,0.0005,0.0005,0.0,0.0033,0.0042,0.0,0.0005,0.0,0.0046,0.0,0.0,0.0,0.0028,0.0023,0.0009,0.0,0.0,0.0,0.0005,0.0005,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PK-WBS393.txt,3346,4.4555,0.5925,0.4976,912,300,0.0,0.043,0.003,0.0021,0.0143,0.0027,0.0523,0.009,0.0075,0.0009,0.0024,0.0,0.0012,0.0093,0.0015,0.0024,0.0768,0.0003,0.0084,0.0024,0.0042,0.0027,0.0024,0.0051,0.0024,0.0018,0.0,0.1106,0.1061,0.0583,0.0006,0.0427,0.0039,0.003,0.003,0.0218,0.0173,0.0045,0.0039,0.003,0.0075,0.0012,0.0012,0.0021,0.0099,0.0078,0.0009,0.0069,0.0149,0.0457,0.2726,0.023,0.0033,0.023,0.0033,0.014,0.0233,0.0051,0.0114,0.0027,0.1133,0.0033,0.0012,0.0033,0.0054,0.0066,0.0015,0.0012,0.0099,0.0105,0.0063,0.0015,0.0012,0.0278,0.0263,0.0203,0.0009,0.0084,0.0015,0.0069,0.0457,0.0,0.0015,0.0048,0.0045,0.0051,0.003,0.0027,0.0087,0.0018,0.0003,0.0003,0.0018,0.0,0.0012,0.0006,0.0012,0.0,0.0003,0.0006,0.0003,0.0033,0.0006,0.0015,0.0003,0.0024,0.0006,0.0072,0.0179,0.0078,0.0063,0.0565,0.0069,0.0069,0.0,0.0,0.0,0.0057,0.0,0.0,0.0003,0.0,0.0,0.0006,0.0,0.0078,0.0006,0.0,0.0003,0.0009,0.0,0.0003,0.0003,0.0003,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0003,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UK-TWT333.txt,2651,6.0268,0.73,0.5851,861,199,0.0,0.0268,0.0034,0.0008,0.0155,0.0011,0.0253,0.017,0.0094,0.0004,0.0023,0.0008,0.0008,0.0113,0.0034,0.0041,0.0573,0.0011,0.0079,0.0015,0.0011,0.006,0.0211,0.0272,0.0049,0.0008,0.0,0.0924,0.0875,0.0328,0.0019,0.0226,0.0015,0.0015,0.0045,0.0219,0.0162,0.0019,0.0011,0.0015,0.0041,0.0011,0.0008,0.0015,0.006,0.003,0.0008,0.0023,0.014,0.0287,0.3248,0.0181,0.0023,0.0053,0.0011,0.0124,0.0671,0.0034,0.0079,0.0019,0.083,0.0094,0.0015,0.0041,0.0038,0.0041,0.0038,0.0004,0.0098,0.0049,0.0079,0.0049,0.0011,0.0064,0.0249,0.0192,0.0004,0.006,0.0023,0.0049,0.0151,0.0008,0.0008,0.0011,0.0011,0.0011,0.0008,0.0064,0.0045,0.0068,0.0,0.0,0.0004,0.0,0.0,0.0004,0.0004,0.0,0.0008,0.0019,0.0004,0.003,0.0004,0.0008,0.0,0.0008,0.0321,0.0155,0.014,0.0075,0.0034,0.0456,0.0102,0.0098,0.0004,0.0,0.0004,0.0113,0.0,0.0313,0.0023,0.0,0.0004,0.0008,0.0026,0.0026,0.0019,0.0004,0.0,0.0004,0.0,0.0,0.0004,0.0034,0.0041,0.0415,0.086,0.0004,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA-TWT261.txt,2564,4.6422,0.6325,0.592,707,259,0.0,0.0378,0.0016,0.002,0.0144,0.0039,0.0183,0.0156,0.0117,0.0016,0.0047,0.0012,0.0,0.0125,0.0055,0.0043,0.0316,0.0,0.0176,0.0004,0.0031,0.0027,0.0456,0.0484,0.0051,0.0,0.0004,0.071,0.0679,0.0378,0.0039,0.0218,0.0031,0.0027,0.0066,0.0242,0.0168,0.0023,0.0012,0.0031,0.002,0.0004,0.0004,0.0035,0.0027,0.0031,0.0004,0.0008,0.0222,0.0429,0.2757,0.0129,0.0004,0.0148,0.0012,0.0098,0.0156,0.0035,0.0137,0.0004,0.1088,0.0,0.0031,0.0008,0.0004,0.0016,0.0016,0.0012,0.0098,0.0035,0.0098,0.0039,0.0,0.016,0.0367,0.0285,0.0004,0.0082,0.0008,0.0055,0.0289,0.0,0.0031,0.0023,0.0023,0.0016,0.0012,0.0086,0.0031,0.0074,0.0,0.0,0.0004,0.0004,0.0,0.0,0.0004,0.0004,0.0,0.0004,0.0,0.0023,0.0,0.0012,0.0,0.002,0.0296,0.0226,0.0195,0.0062,0.002,0.069,0.0109,0.0098,0.0008,0.0,0.0012,0.0074,0.0004,0.0655,0.0055,0.002,0.002,0.0004,0.0035,0.0062,0.0004,0.0,0.0004,0.0008,0.0,0.0,0.0,0.0004,0.0008,0.0,0.0554,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
