Filename,Words,AWL,TTR,LDE,NTotal,VBTotal,ABLE,ACT,AMP,ASPECT,BEMA,CAUSE,CC,CD,COMM,CONC,COND,CONT,CUZ,DEMO,DMA,DOAUX,DT,ELAB,EMPH,EX,EXIST,FPP1P,FPP1S,FPPAll,FREQ,HDG,HGOT,IN,INother,JJAT,JJATDother,JJATother,JJDESCAll,JJEPSTother,JJEVAL,JJPR,JJPRother,JJREL,JJSIZE,JJTIME,MDCA,MDCO,MDMM,MDNE,MDPOSSCAll,MDPREDAll,MDWO,MDWS,MENTAL,NCOMP,NN,NNABSPROC,NNCOG,NNCONC,NNGRP,NNHUMAN,NNP,NNPLACE,NNQUANT,NNTECH,NNother,NOMZ,NSTNCother,OCCUR,PASS,PASSAll,PEAS,PGET,PIT,PLACE,POS,PROG,PrepNSTNC,QUAN,RB,RBother,RNONFACT,RP,RSTNCAll,SPLIT,SPP2,STPR,THATD,THRC,THRCother,THSC,THSCother,TIME,TPP3P,TPP3S,ThJFCT,ThJSTNCAll,ThSTNCAll,ThVATT,ThVCOMM,ThVFCT,ThVSTNCAll,ToJCRTN,ToJEVAL,ToJSTNCAll,ToNSTNC,ToSTNCAll,ToThNSTNCAll,ToVDSR,ToVPROB,ToVSTNCAll,URL,VBD,VBG,VBN,VIMP,VPRT,WHSC,WHSCother,WhVFCT,WhVLIK,WhVSTNCAll,XX0,DWNT,EMO,FPUH,GTO,JJCOLR,JJTOPIC,POLITE,QUPR,RFACT,ToJEASE,ToVEFRT,VFCTother,ThNFCT,ThNSTNCAll,ToJABL,WHQU,YNQU,HST,NNMention,ToJEFCT,ThVLIK,WhVCOM,QUTAG,VLIKother,ThNLIK,ToVMNTL,MDother,GW,VATTother,ThNATT,ToVSPCH,ThJEVL,WhVATT,RLIKELY,ThJATT,ThJLIK,ThNNFCT
USA-WBF184.txt,2331,4.7121,0.5275,0.5032,678,224,2.0,86,12,5,44,3.0,103,81,27,1.0,6.0,30.0,5.0,26,4.0,6.0,168,1.0,8.0,4.0,7.0,32.0,37.0,69.0,5,5.0,1.0,317,305,116,1.0,88,6.0,1.0,5,48,39,10,6.0,11.0,4.0,4.0,2.0,13,10,23.0,6.0,17.0,37,76,678,68,8.0,22,5.0,21,200,20.0,28,2,210,10.0,9.0,10,19,21,19,2.0,24,10,19,15.0,3.0,30,40,35,1.0,6,1.0,8,5,3.0,4.0,11.0,11.0,19.0,8.0,7,10,10.0,1.0,1.0,11.0,5.0,3.0,4.0,10.0,2.0,1.0,3.0,1.0,7.0,1.0,2.0,1.0,3.0,2.0,38,44,21,2.0,138,28,25,2.0,1.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD-WBS216.txt,2452,4.8475,0.4525,0.5371,852,186,2.0,85,3,14,35,14.0,102,55,16,0.0,6.0,0.0,1.0,29,3.0,1.0,145,2.0,15.0,1.0,6.0,24.0,4.0,28.0,7,3.0,1.0,353,342,104,1.0,75,8.0,2.0,3,28,21,7,7.0,1.0,5.0,0.0,2.0,2,7,14.0,4.0,9.0,21,113,852,117,3.0,13,17.0,46,258,13.0,33,17,182,36.0,5.0,8,22,24,20,2.0,27,10,9,20.0,2.0,31,39,35,0.0,11,1.0,13,65,0.0,4.0,3.0,3.0,5.0,3.0,9,20,27.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,6.0,0.0,3.0,0.0,4.0,2.0,60,44,11,1.0,103,36,36,0.0,0.0,0.0,8.0,1.0,8.0,7.0,1.0,1.0,7.0,6.0,4.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PK-WBS430.txt,3111,4.8903,0.51,0.5284,1017,257,0.0,74,6,15,38,14.0,165,70,31,4.0,7.0,1.0,2.0,25,4.0,8.0,204,5.0,8.0,3.0,14.0,53.0,31.0,84.0,6,1.0,0.0,453,434,151,3.0,118,3.0,2.0,2,37,27,12,3.0,16.0,18.0,0.0,5.0,7,23,37.0,4.0,30.0,26,97,1017,140,4.0,10,17.0,71,327,13.0,15,9,247,47.0,20.0,15,18,21,17,3.0,35,5,11,8.0,9.0,45,42,41,0.0,6,0.0,11,27,0.0,1.0,15.0,14.0,11.0,4.0,7,36,18.0,2.0,2.0,8.0,1.0,3.0,2.0,5.0,0.0,1.0,3.0,2.0,10.0,3.0,4.0,1.0,5.0,8.0,46,52,14,0.0,147,23,21,2.0,0.0,2.0,24.0,2.0,4.0,6.0,3.0,0.0,2.0,3.0,5.0,0.0,1.0,0.0,5.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PK-TWT133.txt,2349,5.7497,0.6725,0.6258,796,183,0.0,54,5,7,32,7.0,58,51,24,0.0,2.0,12.0,5.0,19,5.0,3.0,127,1.0,14.0,3.0,12.0,19.0,11.0,30.0,16,0.0,1.0,242,233,116,10.0,85,3.0,1.0,10,43,33,5,3.0,8.0,10.0,3.0,8.0,4,21,14.0,2.0,12.0,38,85,796,52,7.0,29,4.0,45,244,8.0,18,11,184,15.0,3.0,9,17,19,10,2.0,14,5,10,5.0,3.0,24,38,31,0.0,5,2.0,10,34,2.0,4.0,3.0,3.0,1.0,0.0,17,11,24.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,1.0,0.0,2.0,74.0,41,23,22,7.0,96,21,20,0.0,1.0,1.0,33.0,2.0,55.0,15.0,0.0,0.0,0.0,14.0,12.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,88.0,101.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LK-TWT408.txt,2547,4.8484,0.625,0.5194,704,271,0.0,96,5,6,51,3.0,58,24,27,3.0,16.0,0.0,3.0,28,11.0,27.0,184,3.0,20.0,4.0,5.0,23.0,28.0,51.0,7,7.0,0.0,239,227,74,9.0,41,3.0,1.0,15,41,23,13,2.0,4.0,14.0,8.0,2.0,16,24,35.0,9.0,26.0,61,45,704,34,2.0,24,12.0,43,52,20.0,26,6,191,12.0,7.0,15,11,11,9,0.0,34,6,10,18.0,1.0,38,81,74,0.0,5,4.0,23,43,1.0,14.0,4.0,4.0,9.0,5.0,17,31,26.0,0.0,0.0,4.0,1.0,2.0,2.0,4.0,0.0,0.0,1.0,0.0,9.0,0.0,6.0,0.0,8.0,16.0,39,29,12,4.0,153,42,39,2.0,1.0,3.0,17.0,2.0,108.0,6.0,0.0,1.0,0.0,9.0,8.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,9.0,17.0,46.0,232.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LK-WBS056.txt,3058,5.0628,0.6,0.5647,1092,286,0.0,67,5,5,52,4.0,127,104,53,1.0,1.0,3.0,9.0,39,2.0,1.0,242,2.0,7.0,9.0,15.0,24.0,8.0,32.0,3,1.0,0.0,360,346,171,1.0,126,8.0,14.0,1,45,33,7,6.0,13.0,9.0,3.0,4.0,6,16,31.0,2.0,29.0,30,120,1092,121,6.0,25,20.0,36,382,30.0,40,2,248,49.0,16.0,12,31,31,13,0.0,35,3,16,8.0,3.0,32,50,44,1.0,10,2.0,13,6,0.0,3.0,2.0,2.0,8.0,3.0,23,16,11.0,0.0,0.0,5.0,1.0,3.0,0.0,5.0,0.0,2.0,2.0,1.0,10.0,1.0,4.0,2.0,7.0,9.0,81,35,34,4.0,148,32,30,2.0,0.0,2.0,15.0,2.0,9.0,2.0,0.0,2.0,13.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LK-WBF439.txt,2153,4.2457,0.585,0.4798,537,259,1.0,64,2,2,49,0.0,76,51,36,2.0,16.0,23.0,2.0,38,21.0,16.0,163,3.0,11.0,10.0,13.0,6.0,57.0,63.0,12,4.0,0.0,218,208,76,1.0,43,3.0,6.0,22,44,28,6,2.0,7.0,9.0,4.0,7.0,9,20,23.0,12.0,10.0,53,68,537,36,8.0,62,1.0,33,89,11.0,22,3,179,12.0,8.0,6,14,20,9,6.0,36,11,4,6.0,3.0,28,56,52,0.0,11,0.0,10,24,0.0,18.0,2.0,2.0,6.0,5.0,13,20,14.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,8.0,2.0,4.0,0.0,4.0,6.0,52,41,21,4.0,152,35,33,1.0,0.0,2.0,33.0,1.0,0.0,15.0,1.0,1.0,0.0,7.0,9.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,6.0,5.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PK-WBS393.txt,3346,4.4555,0.5925,0.4976,912,300,0.0,144,10,7,48,9.0,175,30,25,3.0,8.0,0.0,4.0,31,5.0,8.0,257,1.0,28.0,8.0,14.0,9.0,8.0,17.0,8,6.0,0.0,370,355,195,2.0,143,13.0,10.0,10,73,58,15,13.0,10.0,25.0,4.0,4.0,7,33,26.0,3.0,23.0,50,153,912,77,11.0,77,11.0,47,78,17.0,38,9,379,11.0,4.0,11,18,22,5,4.0,33,35,21,5.0,4.0,93,88,68,3.0,28,5.0,23,153,0.0,5.0,16.0,15.0,17.0,10.0,9,29,6.0,1.0,1.0,6.0,0.0,4.0,2.0,4.0,0.0,1.0,2.0,1.0,11.0,2.0,5.0,1.0,8.0,2.0,24,60,26,21.0,189,23,23,0.0,0.0,0.0,19.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,26.0,2.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UK-TWT333.txt,2651,6.0268,0.73,0.5851,861,199,0.0,71,9,2,41,3.0,67,45,25,1.0,6.0,2.0,2.0,30,9.0,11.0,152,3.0,21.0,4.0,3.0,16.0,56.0,72.0,13,2.0,0.0,245,232,87,5.0,60,4.0,4.0,12,58,43,5,3.0,4.0,11.0,3.0,2.0,4,16,8.0,2.0,6.0,37,76,861,48,6.0,14,3.0,33,178,9.0,21,5,220,25.0,4.0,11,10,11,10,1.0,26,13,21,13.0,3.0,17,66,51,1.0,16,6.0,13,40,2.0,2.0,3.0,3.0,3.0,2.0,17,12,18.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,5.0,1.0,8.0,1.0,2.0,0.0,2.0,85.0,41,37,20,9.0,121,27,26,1.0,0.0,1.0,30.0,0.0,83.0,6.0,0.0,1.0,2.0,7.0,7.0,5.0,1.0,0.0,1.0,0.0,0.0,1.0,9.0,11.0,110.0,228.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA-TWT261.txt,2564,4.6422,0.6325,0.592,707,259,0.0,97,4,5,37,10.0,47,40,30,4.0,12.0,3.0,0.0,32,14.0,11.0,81,0.0,45.0,1.0,8.0,7.0,117.0,124.0,13,0.0,1.0,182,174,97,10.0,56,8.0,7.0,17,62,43,6,3.0,8.0,5.0,1.0,1.0,9,7,8.0,1.0,2.0,57,110,707,33,1.0,38,3.0,25,40,9.0,35,1,279,0.0,8.0,2,1,4,4,3.0,25,9,25,10.0,0.0,41,94,73,1.0,21,2.0,14,74,0.0,8.0,6.0,6.0,4.0,3.0,22,8,19.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,6.0,0.0,3.0,0.0,5.0,76.0,58,50,16,5.0,177,28,25,2.0,0.0,3.0,19.0,1.0,168.0,14.0,5.0,5.0,1.0,9.0,16.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,142.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
