Filename,Words,AWL,TTR,LDE,NTotal,VBTotal,ABLE,ACT,AMP,ASPECT,BEMA,CAUSE,CC,CD,COMM,CONC,COND,CONT,CUZ,DEMO,DMA,DOAUX,DT,ELAB,EMPH,EX,EXIST,FPP1P,FPP1S,FPPAll,FREQ,HDG,HGOT,IN,INother,JJAT,JJATDother,JJATother,JJDESCAll,JJEPSTother,JJEVAL,JJPR,JJPRother,JJREL,JJSIZE,JJTIME,MDCA,MDCO,MDMM,MDNE,MDPOSSCAll,MDPREDAll,MDWO,MDWS,MDother,MENTAL,NCOMP,NN,NNABSPROC,NNCOG,NNCONC,NNGRP,NNHUMAN,NNP,NNPLACE,NNQUANT,NNTECH,NNother,NOMZ,NSTNCother,OCCUR,PASS,PASSAll,PEAS,PGET,PIT,PLACE,POS,PROG,PrepNSTNC,QUAN,RB,RBother,RNONFACT,RP,RSTNCAll,SPLIT,SPP2,STPR,THATD,THRC,THRCother,THSC,THSCother,TIME,TPP3P,TPP3S,ThJFCT,ThJSTNCAll,ThSTNCAll,ThVATT,ThVCOMM,ThVFCT,ThVSTNCAll,ToJCRTN,ToJEVAL,ToJSTNCAll,ToNSTNC,ToSTNCAll,ToThNSTNCAll,ToVDSR,ToVPROB,ToVSTNCAll,URL,VBD,VBG,VBN,VPRT,WHSC,WHSCother,WhVFCT,WhVLIK,WhVSTNCAll,XX0,DWNT,EMO,FPUH,GTO,JJCOLR,JJTOPIC,POLITE,QUPR,RFACT,ToJEASE,ToVEFRT,VFCTother,VIMP,ToJABL,WHQU,YNQU,GW,HST,NNMention,ToJEFCT,ThVLIK,WDT,WhVCOM,QUTAG,VLIKother,ThNLIK,ThNSTNCAll,ToVMNTL,VATTother,ThNATT,ToVSPCH,ThJEVL,WhVATT,RLIKELY,ThJATT,ThJLIK,WP,ThNNFCT
USA-WBF184.txt,2325,4.7247,0.5325,0.5028,687,217,0.0009,0.037,0.006,0.0022,0.0172,0.0013,0.0443,0.0344,0.0112,0.0004,0.0026,0.0116,0.0022,0.0108,0.0017,0.0026,0.0723,0.0004,0.0034,0.0017,0.0034,0.0146,0.0159,0.0305,0.0022,0.0022,0.0004,0.1333,0.1282,0.0477,0.0004,0.0357,0.0017,0.0004,0.0022,0.0172,0.0151,0.0039,0.0017,0.0047,0.0013,0.0017,0.0009,0.0056,0.0039,0.0099,0.0026,0.0073,0.0009,0.0168,0.0305,0.2955,0.0271,0.003,0.0099,0.0022,0.0095,0.0963,0.0086,0.0116,0.0013,0.0877,0.0043,0.0039,0.0043,0.0082,0.0095,0.0082,0.0013,0.0095,0.0043,0.0082,0.0069,0.0013,0.012,0.0198,0.0172,0.0004,0.0034,0.0004,0.0039,0.0022,0.0013,0.0017,0.0047,0.0047,0.0086,0.0039,0.0034,0.0043,0.0043,0.0004,0.0004,0.0047,0.0022,0.0013,0.0017,0.0043,0.0009,0.0004,0.0013,0.0004,0.003,0.0004,0.0009,0.0004,0.0013,0.0009,0.0155,0.0194,0.0095,0.0585,0.012,0.0108,0.0009,0.0004,0.0013,0.0073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD-WBS216.txt,2441,4.8648,0.45,0.5367,847,189,0.0008,0.0348,0.0025,0.0057,0.0152,0.0057,0.0422,0.0193,0.0066,0.0,0.0025,0.0,0.0004,0.0123,0.0012,0.0004,0.0594,0.0008,0.0061,0.0004,0.0033,0.0098,0.0016,0.0115,0.0029,0.0012,0.0004,0.1438,0.1389,0.0385,0.0004,0.027,0.0033,0.0008,0.0012,0.0119,0.009,0.0029,0.0029,0.0004,0.002,0.0,0.0008,0.0008,0.0029,0.0057,0.0016,0.0037,0.0004,0.009,0.0508,0.347,0.0483,0.0012,0.0082,0.0066,0.0193,0.1004,0.0053,0.0131,0.0057,0.0713,0.0152,0.002,0.0033,0.0094,0.0102,0.0082,0.0008,0.0111,0.0041,0.0029,0.0086,0.0008,0.0119,0.0156,0.0135,0.0,0.0053,0.0004,0.0053,0.0266,0.0004,0.0016,0.0012,0.0012,0.0016,0.0004,0.0037,0.0082,0.0111,0.0,0.0,0.0012,0.0,0.0004,0.0008,0.0012,0.0,0.0,0.0008,0.0,0.0025,0.0,0.0012,0.0,0.0016,0.0008,0.0238,0.0184,0.0074,0.0438,0.0147,0.0147,0.0,0.0,0.0,0.0033,0.0004,0.0012,0.0029,0.0004,0.0004,0.0029,0.0025,0.0016,0.0004,0.0008,0.0004,0.0016,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PK-WBS430.txt,3079,4.9172,0.5075,0.5235,960,252,0.0,0.0247,0.0019,0.0049,0.012,0.0045,0.0536,0.0192,0.0101,0.0013,0.0023,0.0003,0.0006,0.0084,0.001,0.0026,0.0666,0.0016,0.0026,0.001,0.0039,0.0172,0.0101,0.0273,0.0019,0.0003,0.0,0.1481,0.1419,0.0487,0.001,0.0386,0.001,0.0006,0.0006,0.0127,0.0097,0.0036,0.001,0.0052,0.0055,0.0,0.0016,0.0023,0.0071,0.012,0.0013,0.0097,0.0003,0.0088,0.0296,0.3118,0.0464,0.0013,0.0032,0.0055,0.0231,0.0965,0.0045,0.0049,0.0029,0.0715,0.0153,0.0065,0.0045,0.0058,0.0068,0.0058,0.001,0.0114,0.0019,0.0032,0.0026,0.0029,0.0146,0.0149,0.0136,0.0,0.0016,0.0,0.0039,0.0088,0.0,0.0003,0.0045,0.0045,0.0036,0.0013,0.0023,0.0117,0.0058,0.0006,0.0006,0.0023,0.0003,0.001,0.0006,0.0016,0.0,0.0003,0.001,0.0006,0.0032,0.0006,0.0013,0.0003,0.0016,0.0026,0.0133,0.0159,0.0055,0.0481,0.0075,0.0068,0.0006,0.0,0.0006,0.0078,0.0006,0.0003,0.0078,0.001,0.0,0.001,0.001,0.0016,0.0,0.0003,0.0,0.0016,0.0,0.0003,0.0006,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PK-TWT133.txt,2377,5.6605,0.6525,0.6285,798,173,0.0,0.0231,0.0017,0.0034,0.013,0.0034,0.0244,0.0227,0.0097,0.0,0.0008,0.0046,0.0021,0.008,0.0063,0.0013,0.0534,0.0004,0.0059,0.0013,0.0046,0.008,0.0046,0.0126,0.0067,0.0,0.0004,0.1027,0.0989,0.0459,0.005,0.0316,0.0017,0.0004,0.0055,0.0231,0.0168,0.0021,0.0017,0.0038,0.0029,0.0013,0.0034,0.0017,0.0076,0.0059,0.0008,0.005,0.0008,0.016,0.0257,0.3357,0.0215,0.0029,0.0135,0.0013,0.0189,0.109,0.0038,0.0076,0.0055,0.0812,0.0072,0.0013,0.0038,0.0084,0.0093,0.0042,0.0008,0.0059,0.0029,0.0029,0.0021,0.0008,0.0105,0.0164,0.0135,0.0,0.0017,0.0008,0.0042,0.0143,0.0004,0.0013,0.0013,0.0013,0.0004,0.0,0.0072,0.0046,0.0101,0.0,0.0,0.0004,0.0,0.0004,0.0,0.0004,0.0,0.0,0.0008,0.0,0.0021,0.0,0.0008,0.0,0.0013,0.0311,0.016,0.0093,0.0105,0.0383,0.0088,0.0084,0.0,0.0004,0.0004,0.0126,0.0008,0.0084,0.0097,0.0,0.0,0.0,0.0059,0.005,0.0008,0.0,0.0004,0.0004,0.0034,0.0,0.0004,0.0004,0.008,0.037,0.0387,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LK-TWT408.txt,2510,4.8869,0.6275,0.5155,706,271,0.0,0.0378,0.0016,0.0024,0.0231,0.0012,0.0235,0.0096,0.0108,0.0012,0.0064,0.0,0.0012,0.0131,0.004,0.0127,0.0733,0.0012,0.008,0.002,0.002,0.0092,0.0108,0.0199,0.0028,0.0028,0.0,0.0968,0.0916,0.0307,0.0036,0.0167,0.0008,0.0004,0.006,0.0151,0.0088,0.0052,0.0004,0.0016,0.0048,0.0032,0.0008,0.0064,0.0088,0.0143,0.0036,0.0108,0.0008,0.0243,0.0155,0.2813,0.0127,0.0008,0.01,0.0048,0.0171,0.0283,0.0076,0.0104,0.0024,0.0773,0.0044,0.0012,0.0064,0.0044,0.0044,0.0036,0.0,0.0135,0.002,0.0004,0.0076,0.0004,0.0155,0.0347,0.0319,0.0,0.0024,0.0016,0.0096,0.0171,0.0004,0.006,0.0004,0.0004,0.0028,0.0016,0.0068,0.0124,0.0104,0.0,0.0,0.0012,0.0004,0.0008,0.0008,0.0012,0.0,0.0,0.0008,0.0,0.004,0.0,0.0024,0.0,0.0032,0.0064,0.0159,0.0116,0.0048,0.0606,0.0171,0.0159,0.0008,0.0004,0.0012,0.0056,0.0008,0.0143,0.0076,0.0,0.0004,0.0,0.0036,0.0032,0.0016,0.0008,0.0008,0.0,0.002,0.0,0.0032,0.0068,0.002,0.0183,0.0884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LK-WBS056.txt,3045,5.0791,0.5975,0.5655,1062,303,0.0,0.0269,0.0016,0.002,0.0181,0.0013,0.0417,0.0332,0.0171,0.0003,0.0003,0.001,0.003,0.0125,0.0007,0.0003,0.0801,0.0007,0.0023,0.0033,0.0053,0.0079,0.0026,0.0105,0.001,0.0003,0.0,0.1169,0.111,0.0535,0.0003,0.0397,0.0026,0.0046,0.0003,0.0135,0.0095,0.0026,0.0026,0.003,0.0023,0.001,0.0013,0.002,0.0046,0.0099,0.0007,0.0092,0.0007,0.0112,0.0368,0.3488,0.0365,0.002,0.0089,0.0072,0.0118,0.1274,0.0092,0.0135,0.0007,0.0749,0.0154,0.0053,0.0039,0.0105,0.0105,0.0043,0.0,0.0115,0.001,0.0026,0.0026,0.001,0.0105,0.0174,0.0154,0.0003,0.0033,0.0007,0.0043,0.002,0.0,0.0007,0.0007,0.0007,0.0026,0.001,0.0076,0.0053,0.0036,0.0,0.0,0.0016,0.0003,0.001,0.0,0.0016,0.0,0.0007,0.0007,0.0003,0.0046,0.0003,0.0026,0.0007,0.0036,0.0026,0.0266,0.0112,0.0105,0.0529,0.0105,0.0099,0.0007,0.0,0.0007,0.0043,0.0007,0.003,0.0016,0.0,0.0,0.0043,0.0003,0.0013,0.0003,0.0,0.0003,0.0003,0.0036,0.0,0.0007,0.0,0.0,0.0,0.0003,0.0,0.0003,0.0003,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LK-WBF439.txt,2137,4.2578,0.5825,0.4778,525,261,0.0005,0.0309,0.0014,0.0009,0.022,0.0,0.0356,0.0234,0.0168,0.0009,0.0075,0.0098,0.0009,0.0178,0.0098,0.0066,0.0767,0.0014,0.0042,0.0037,0.0061,0.0033,0.0262,0.0295,0.0056,0.0023,0.0,0.1006,0.0964,0.0365,0.0005,0.0197,0.0009,0.0028,0.0117,0.0187,0.0131,0.0028,0.0005,0.0028,0.0042,0.0019,0.0033,0.0042,0.0094,0.0103,0.0056,0.0047,0.0009,0.0257,0.0314,0.2457,0.0168,0.0037,0.0285,0.0005,0.0159,0.0407,0.0051,0.0103,0.0014,0.0796,0.0056,0.0037,0.0028,0.0066,0.0094,0.0042,0.0028,0.0164,0.0061,0.0009,0.0033,0.0009,0.0131,0.0234,0.0211,0.0,0.0056,0.0,0.0028,0.0112,0.0,0.0089,0.0014,0.0014,0.0023,0.0019,0.0056,0.0094,0.0066,0.0,0.0,0.0005,0.0,0.0005,0.0,0.0005,0.0,0.0,0.0005,0.0005,0.0033,0.0005,0.0019,0.0,0.0023,0.0009,0.0257,0.0201,0.0098,0.0702,0.0159,0.015,0.0005,0.0,0.0009,0.0159,0.0005,0.0,0.0098,0.0,0.0005,0.0,0.0033,0.0042,0.0,0.0005,0.0005,0.0051,0.0023,0.0,0.0033,0.0019,0.0,0.0009,0.0,0.0,0.0,0.0,0.0005,0.0005,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PK-WBS393.txt,3357,4.4447,0.5925,0.499,889,281,0.0,0.0426,0.0036,0.0021,0.0155,0.0033,0.0521,0.0089,0.0077,0.0009,0.0024,0.0,0.0012,0.0098,0.0015,0.003,0.0766,0.0003,0.0083,0.0021,0.0042,0.0027,0.0024,0.0051,0.0024,0.0018,0.0,0.112,0.1075,0.0545,0.0006,0.0396,0.0039,0.0024,0.003,0.0232,0.0194,0.0045,0.0039,0.003,0.0074,0.0012,0.0012,0.0021,0.0098,0.0077,0.0009,0.0069,0.0036,0.0152,0.0423,0.2648,0.0211,0.0033,0.0229,0.0033,0.0137,0.0238,0.0048,0.0113,0.0024,0.1108,0.0039,0.0012,0.0033,0.0057,0.0066,0.0018,0.0009,0.0098,0.0101,0.0045,0.0015,0.0009,0.0271,0.025,0.0185,0.0009,0.0077,0.0015,0.008,0.0456,0.0,0.0015,0.0057,0.0054,0.0039,0.0018,0.0027,0.0086,0.0018,0.0003,0.0003,0.0018,0.0,0.0012,0.0006,0.0012,0.0,0.0003,0.0006,0.0003,0.0036,0.0006,0.0018,0.0003,0.0027,0.0,0.006,0.0182,0.0077,0.0515,0.0069,0.0069,0.0,0.0,0.0,0.0057,0.0,0.0,0.0006,0.0,0.0,0.0006,0.0,0.0077,0.0006,0.0,0.0003,0.0009,0.0066,0.0003,0.0003,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0003,0.0003,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UK-TWT333.txt,2717,5.8774,0.7175,0.594,864,202,0.0,0.0269,0.0029,0.0007,0.0166,0.0026,0.0239,0.018,0.0092,0.0007,0.0022,0.0007,0.0007,0.0125,0.0033,0.004,0.057,0.0011,0.0081,0.0026,0.0015,0.0059,0.0206,0.0265,0.0048,0.0007,0.0,0.0972,0.0905,0.0328,0.0022,0.0228,0.0011,0.0015,0.0052,0.0221,0.0155,0.0018,0.0011,0.0018,0.004,0.0011,0.0007,0.0015,0.0059,0.0029,0.0007,0.0022,0.0015,0.0136,0.025,0.318,0.0177,0.0022,0.0059,0.0015,0.0129,0.0736,0.004,0.0085,0.0018,0.0828,0.0099,0.0018,0.004,0.004,0.004,0.0037,0.0,0.0096,0.0033,0.0033,0.0048,0.0011,0.0066,0.0247,0.0191,0.0004,0.0059,0.0018,0.0044,0.0147,0.0011,0.0015,0.0007,0.0007,0.0,0.0,0.0063,0.0044,0.0066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,0.0029,0.0004,0.0044,0.0004,0.0007,0.0,0.0011,0.0313,0.0166,0.0121,0.0081,0.0442,0.0099,0.0096,0.0004,0.0,0.0004,0.0114,0.0,0.0202,0.0026,0.0,0.0,0.0007,0.0026,0.0026,0.0015,0.0004,0.0004,0.0004,0.0033,0.0007,0.0033,0.0037,0.0033,0.0405,0.074,0.0011,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA-TWT261.txt,2435,4.823,0.65,0.577,676,237,0.0,0.0398,0.0016,0.0021,0.0214,0.0041,0.0201,0.0152,0.0123,0.0012,0.0049,0.0012,0.0,0.0156,0.0057,0.0049,0.0337,0.0,0.0181,0.0004,0.0025,0.0029,0.0423,0.0452,0.0053,0.0,0.0004,0.0752,0.0719,0.037,0.0041,0.0197,0.0033,0.0021,0.007,0.0238,0.0181,0.0025,0.0012,0.0029,0.0021,0.0004,0.0004,0.0037,0.0029,0.0021,0.0004,0.0008,0.0041,0.0234,0.0333,0.2776,0.0127,0.0,0.0152,0.0012,0.0107,0.0329,0.0037,0.014,0.0008,0.0982,0.0008,0.0037,0.0012,0.0004,0.0012,0.0012,0.0008,0.0103,0.0033,0.0004,0.0041,0.0,0.0172,0.0394,0.0312,0.0004,0.0086,0.0008,0.0062,0.0304,0.0,0.0012,0.0012,0.0012,0.0004,0.0004,0.0099,0.0033,0.0078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0004,0.0,0.0025,0.0,0.0012,0.0,0.0021,0.0312,0.0205,0.0189,0.0066,0.0665,0.0115,0.0103,0.0008,0.0,0.0012,0.0078,0.0004,0.0209,0.0172,0.0008,0.0021,0.0004,0.0037,0.0066,0.0004,0.0,0.0004,0.0008,0.0025,0.0,0.0004,0.0008,0.0,0.0,0.0489,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
