"","precision","recall","f1"
"ABLE",1,1,1
"AMP",1,1,1
"BEAUX",0.963687150837989,0.953038674033149,0.958333333333333
"BEMA",0.967486122125297,0.926347760060744,0.946470131885182
"CC",0.993969298245614,0.988549618320611,0.991252050300711
"CD",0.996143958868895,0.994865211810013,0.995504174694926
"CONC",0.985714285714286,0.932432432432432,0.958333333333333
"CUZ",1,0.986486486486487,0.993197278911565
"DEMO",0.985611510791367,0.966490299823633,0.975957257346394
"DMA",0.950177935943061,0.933566433566434,0.941798941798942
"DOAUX",0.995726495726496,0.966804979253112,0.981052631578947
"DT",0.999717514124294,0.999717514124294,0.999717514124294
"DWNT",1,1,1
"ELAB",1,1,1
"EMPH",0.857142857142857,0.956175298804781,0.903954802259887
"EX",0.972727272727273,1,0.986175115207373
"FREQ",0.972350230414747,0.967889908256881,0.970114942528736
"IN",0.98897447515481,0.997714459850678,0.993325242718447
"JJAT",0.961416250567408,0.948075201432408,0.954699121027721
"JJPR",0.884536082474227,0.905063291139241,0.894681960375391
"MDCA",1,1,1
"MDCO",1,1,1
"MDMM",1,1,1
"MDWO",1,1,1
"NCOMP",0.905519176800748,0.961271102284012,0.932562620423892
"NN",0.9852879005665,0.988212347354138,0.98674795715314
"NONE",0.00442477876106195,0.00526315789473684,0.00480769230769231
"PASS",0.938172043010753,0.974860335195531,0.956164383561644
"PEAS",0.989130434782609,0.921052631578947,0.953878406708595
"PIT",1,1,1
"PLACE",0.978540772532189,0.95,0.964059196617336
"POS",0.983783783783784,0.989130434782609,0.986449864498645
"PP1P",0.997518610421836,0.997518610421836,0.997518610421836
"PPother",0,NA,NA
"PROG",0.966037735849057,0.89198606271777,0.927536231884058
"QUAN",0.984939759036145,0.989409984871407,0.987169811320755
"QUPR",0.994974874371859,0.961165048543689,0.977777777777778
"RB",0.932673267326733,0.897998093422307,0.91500728508985
"SPLIT",0.990291262135922,0.914798206278027,0.951048951048951
"THATD",0.781914893617021,0.794594594594595,0.788203753351207
"THRC",0.877697841726619,0.983870967741935,0.927756653992395
"THSC",0.952380952380952,0.938967136150235,0.945626477541371
"TIME",0.996794871794872,0.968847352024922,0.9826224328594
"VB",0.936644703497212,0.99088471849866,0.963001563314226
"VBG",0.924812030075188,0.968503937007874,0.946153846153846
"VBN",0.827906976744186,0.939313984168865,0.880098887515451
"VIMP",0.874125874125874,0.581395348837209,0.698324022346369
"VPRT",0.992269852424455,0.975474956822107,0.983800731579864
"WHSC",0.959798994974874,0.969543147208122,0.964646464646465
"XX0",1,0.996763754045307,0.99837925445705
"CONT",0.99592252803262,0.986868686868687,0.991374936580416
"PP1S",1,0.999186991869919,0.999593330622204
"RP",0.956666666666667,0.894080996884735,0.924315619967794
"VBD",0.989124212936462,0.981260647359455,0.985176738882554
"MDNE",1,0.982352941176471,0.991097922848665
"URL",0.9,1,0.947368421052632
"COND",1,0.986842105263158,0.993377483443709
"LIKE",0.98780487804878,1,0.993865030674847
"MDWS",0.993506493506494,0.993506493506494,0.993506493506494
"PP2",0.997058823529412,0.998527245949926,0.997792494481236
"SO",0.966942148760331,0.928571428571429,0.947368421052632
"YNQU",0.975460122699387,0.987577639751553,0.981481481481482
"EMO",1,0.947368421052632,0.972972972972973
"FPUH",0.949152542372881,0.96137339055794,0.955223880597015
"POLITE",1,0.973333333333333,0.986486486486487
"WHQU",0.857142857142857,0.80672268907563,0.831168831168831
"HDG",0.970588235294118,0.956521739130435,0.963503649635037
"STPR",0.933333333333333,0.4,0.56
"PGET",1,0.8,0.888888888888889
"GTO",0.973684210526316,1,0.986666666666667
"HGOT",1,0.96969696969697,0.984615384615385
"HST",1,0.968421052631579,0.983957219251337
"QUTAG",1,0.911764705882353,0.953846153846154
